Mf,Scaled Distance,Overpressure
0.125,1.818387,0.02165881
0.125,1.873582,0.02106304
0.125,1.930452,0.02048365
0.125,1.989049,0.01992021
0.125,2.049424,0.01937226
0.125,2.111709,0.01870784
0.125,2.175729,0.01832117
0.125,2.241851,0.01769279
0.125,2.3099,0.01720611
0.125,2.379929,0.01685048
0.125,2.452169,0.01638697
0.125,2.526601,0.01593622
0.125,2.603387,0.01538965
0.125,2.68241,0.01496632
0.125,2.763732,0.01465698
0.125,2.847622,0.01425381
0.125,2.934058,0.01386173
0.125,3.023118,0.01348043
0.125,3.114882,0.01310962
0.125,3.20943,0.01274901
0.125,3.306849,0.01239833
0.125,3.407224,0.01205729
0.125,3.510647,0.01172563
0.125,3.617209,0.01140309
0.125,3.727005,0.01108942
0.125,3.840134,0.01078438
0.125,3.956697,0.01048773
0.125,4.076798,0.01019925
0.125,4.200544,0.009918697
0.125,4.328047,0.009645862
0.125,4.459581,0.009315031
0.125,4.594781,0.009122499
0.125,4.73425,0.008871565
0.125,4.878129,0.00856729
0.125,5.026199,0.008331629
0.125,5.178763,0.008102449
0.125,5.335959,0.007879573
0.125,5.497926,0.007662832
0.125,5.664809,0.007452049
0.125,5.836758,0.007247064
0.125,6.014143,0.006998506
0.125,6.196695,0.006805997
0.125,6.384789,0.006618783
0.125,6.578592,0.006436719
0.125,6.778277,0.006259663
0.125,6.984025,0.006087481
0.125,7.195757,0.005961659
0.125,7.414176,0.005797671
0.125,7.6395,0.005598824
0.125,7.871389,0.005444816
0.125,8.110315,0.005295044
0.125,8.356494,0.005149392
0.125,8.610147,0.005007747
0.125,8.871498,0.00487
0.125,9.140781,0.00473604
0.125,9.418242,0.004605765
0.125,9.704121,0.004479073
0.25,0.03948811,0.2785491
0.25,0.04068085,0.2785869
0.25,0.04190964,0.2786247
0.25,0.04317552,0.2786626
0.25,0.04447644,0.2826337
0.25,0.04581821,0.2846598
0.25,0.04719876,0.2887163
0.25,0.04862267,0.290786
0.25,0.05009133,0.2908255
0.25,0.05160434,0.290865
0.25,0.05316307,0.2909046
0.25,0.05476887,0.2909441
0.25,0.05642319,0.2909836
0.25,0.05812746,0.2910231
0.25,0.05988321,0.2910627
0.25,0.06169201,0.2911022
0.25,0.06355543,0.2911417
0.25,0.06547514,0.2911813
0.25,0.06745283,0.2912209
0.25,0.06949025,0.2912604
0.25,0.07158924,0.2913
0.25,0.0737516,0.2913395
0.25,0.0759793,0.2913791
0.25,0.07827145,0.2934679
0.25,0.08063275,0.2955716
0.25,0.08306229,0.2997837
0.25,0.08556812,0.3019327
0.25,0.08815274,0.3019737
0.25,0.09081215,0.3041384
0.25,0.09355514,0.3041797
0.25,0.09638101,0.304221
0.25,0.09929222,0.3042624
0.25,0.1022914,0.3043037
0.25,0.1053811,0.304345
0.25,0.1085642,0.3043864
0.25,0.1118434,0.3044277
0.25,0.1152216,0.3044691
0.25,0.1187019,0.3045105
0.25,0.1222874,0.3045518
0.25,0.1259811,0.3045932
0.25,0.1297864,0.3046346
0.25,0.1337066,0.304676
0.25,0.1377453,0.3047173
0.25,0.1419059,0.3047588
0.25,0.1461922,0.3048001
0.25,0.150608,0.3048415
0.25,0.1551571,0.304883
0.25,0.1598437,0.3049244
0.25,0.1646718,0.3049658
0.25,0.1696458,0.3050072
0.25,0.17477,0.3050487
0.25,0.1800489,0.3050901
0.25,0.1854874,0.3051316
0.25,0.1910901,0.305173
0.25,0.196862,0.3052145
0.25,0.2028083,0.3052559
0.25,0.2089341,0.3052974
0.25,0.215245,0.3053389
0.25,0.2217466,0.3053804
0.25,0.2284445,0.3054218
0.25,0.2353447,0.3054633
0.25,0.2424534,0.3055048
0.25,0.2497858,0.3034128
0.25,0.2573399,0.3013352
0.25,0.2651129,0.3013761
0.25,0.2731305,0.2993124
0.25,0.2813907,0.2972628
0.25,0.2899006,0.2952272
0.25,0.2986679,0.2932056
0.25,0.3077003,0.2911978
0.25,0.317006,0.2892037
0.25,0.326593,0.2872233
0.25,0.3364699,0.2852565
0.25,0.3466706,0.2793606
0.25,0.3571934,0.2716762
0.25,0.3680223,0.266061
0.25,0.3791932,0.2587424
0.25,0.3907032,0.2516251
0.25,0.402548,0.2464243
0.25,0.4147519,0.241331
0.25,0.4273259,0.236343
0.25,0.440281,0.2314581
0.25,0.4536779,0.2219588
0.25,0.4674825,0.2128495
0.25,0.4817072,0.204114
0.25,0.4963288,0.1984994
0.25,0.5113759,0.1943966
0.25,0.5268601,0.1917173
0.25,0.5428328,0.1877548
0.25,0.5592695,0.1851671
0.25,0.5762247,0.1813399
0.25,0.593694,0.1775918
0.25,0.6117149,0.1727067
0.25,0.6302828,0.1679561
0.25,0.6494377,0.1621956
0.25,0.6691266,0.1588432
0.25,0.689462,0.1533952
0.25,0.7103898,0.1491758
0.25,0.7319529,0.1450724
0.25,0.7541705,0.1410818
0.25,0.7770625,0.1372011
0.25,0.8006493,0.1334271
0.25,0.8249819,0.1288508
0.25,0.8500232,0.1253065
0.25,0.8758247,0.1218597
0.25,0.9024094,0.1185077
0.25,0.929801,0.1152479
0.25,0.9580586,0.1112952
0.25,0.9871393,0.1082337
0.25,1.01714,0.1045216
0.25,1.048014,0.1016465
0.25,1.079825,0.09885049
0.25,1.112602,0.09613139
0.25,1.146415,0.0928343
0.25,1.181213,0.0902807
0.25,1.217067,0.08779734
0.25,1.25401,0.08538229
0.25,1.292121,0.08245387
0.25,1.331342,0.08018579
0.25,1.371753,0.07798013
0.25,1.413391,0.07583512
0.25,1.456345,0.07323414
0.25,1.500551,0.07121968
0.25,1.546098,0.06926064
0.25,1.593086,0.06688516
0.25,1.641442,0.06504533
