Timestamp,VOC,RH,T,P,PM1,PM2.5,PM10
1747675538.1130533,,,,,1,2,3
1747675539.1300967,,,,,1,2,3
1747675540.1380832,0.238,35,21,93.326,,,
1747675540.639107,,,,,1,2,3
1747675542.1541407,,,,,1,2,3
1747675542.653073,,,,,1,2,3
1747675543.15712,,,,,1,2,3
1747675544.6701033,,,,,1,2,3
1747675545.1982288,0.238,35,21,93.324,,,
1747675545.6960924,0.238,35,21,93.324,,,
1747675546.6902184,,,,,1,2,3
1747675547.1971292,,,,,1,2,3
1747675547.702145,,,,,1,2,3
1747675548.2122207,0.238,35,21,93.327,,,
1747675548.707215,,,,,1,2,3
1747675549.2122538,,,,,1,2,3
1747675549.7200174,,,,,1,2,3
1747675550.2222755,,,,,1,2,3
1747675551.765096,,,,,1,2,3
1747675552.2492032,,,,,1,2,3
1747675552.7562494,,,,,1,2,2
1747675553.2603004,0.237,35,21,93.327,,,
1747675553.7872584,0.237,35,21,93.327,,,
1747675554.2692628,,,,,1,2,2
1747675554.7807481,,,,,1,2,2
1747675557.8042254,,,,,1,2,3
1747675558.3061583,,,,,1,2,3
1747675558.810097,,,,,1,2,3
1747675560.3282974,,,,,1,2,3
